"","RECORDING_SESSION_LABEL","sentence","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_INDEX","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X"
"356","chenxy",116,"3","3","1","284.2"
"357","chenxy",117,"4","3","1","408.8"
"358","chenxy",118,"5","4","1","432.2"
"359","chenxy",119,"11","4","1","528.1"
"360","chenxy",120,"7","4","1","386.8"
"361","ck",1,"3","3","1","450.2"
"362","ck",2,"10","4","1","450.8"
"363","ck",3,"4","4","1","375"
"364","ck",4,"5","4","1","379.3"
"365","ck",5,"6","4","1","517"
"366","ck",6,"4","3","1","390.7"
"367","ck",7,"3","4","1","380.4"
"368","ck",8,"3","3","1","404.2"
"369","ck",9,"1","4","1","720.4"
"370","ck",10,"5","4","1","510.2"
"371","ck",11,"5","3","1","404.9"
"372","ck",12,"1","4","1","603"
"373","ck",13,"6","3","1","513.7"
"374","ck",14,"5","4","1","416.8"
"375","ck",15,"6","3","1","547.5"
"376","ck",16,"7","3","1","471.9"
"377","ck",17,"7","4","1","549.3"
"378","ck",18,"9","4","1","627.7"
"379","ck",19,"4","4","1","356.9"
"380","ck",20,"5","3","1","428.5"
"381","ck",21,"6","4","1","437.1"
"382","ck",22,"7","4","1","565.9"
"383","ck",23,"5","4","1","464.2"
"384","ck",24,"7","4","1","528.5"
"385","ck",25,"6","3","1","394.1"
"386","ck",26,"10","4","1","555.5"
"387","ck",27,"5","3","1","484.4"
"388","ck",28,"4","4","1","437.7"
"389","ck",29,"4","4","1","447.4"
"390","ck",30,"3","4","1","335.6"
"391","ck",31,"3","4","1","325.4"
"392","ck",32,"7","3","1","566.7"
"393","ck",33,"5","4","1","457.5"
"394","ck",34,"6","4","1","601.2"
"395","ck",35,"4","4","1","388.1"
"396","ck",36,"4","3","1","420.1"
"397","ck",37,"5","3","1","467.3"
"398","ck",38,"6","3","1","462.3"
"399","ck",39,"3","3","1","265.1"
"400","ck",40,"4","3","1","415.8"
"401","ck",41,"5","4","1","515.5"
"402","ck",42,"5","4","1","584.3"
"403","ck",43,"5","4","1","432"
"404","ck",44,"5","3","1","357.7"
"405","ck",45,"7","4","1","490.4"
"406","ck",46,"5","4","1","582.7"
"407","ck",47,"5","3","1","375.6"
"408","ck",48,"9","3","1","508.7"
"409","ck",49,"3","3","1","339.3"
"410","ck",50,"5","4","1","538.2"
"411","ck",51,"7","4","1","647.3"
"412","ck",52,"5","3","1","505.6"
"413","ck",53,"8","4","1","507.8"
"414","ck",54,"8","3","1","475.5"
"415","ck",55,"6","3","1","368.4"
"416","ck",56,"7","4","1","576"
"417","ck",57,"4","3","1","444.5"
"418","ck",58,"4","3","1","325"
"419","ck",59,"4","4","1","384.9"
"420","ck",60,"8","4","1","529.9"
"421","ck",61,"2","3","1","485.6"
"422","ck",62,"5","4","1","551"
"423","ck",63,"7","3","1","469.5"
"424","ck",64,"5","4","1","506.4"
"425","ck",65,"6","3","1","495.6"
"426","ck",66,"2","3","1","339.5"
"427","ck",67,"6","3","1","418.8"
"428","ck",68,"4","4","1","401.5"
"429","ck",69,"4","4","1","371.6"
"430","ck",70,"6","4","1","470.1"
"431","ck",71,"5","3","1","507"
"432","ck",72,"7","4","1","463.4"
"433","ck",73,"4","3","1","559.2"
"434","ck",74,"4","4","1","390.1"
"435","ck",75,"6","3","1","554.1"
"436","ck",76,"5","4","1","508.1"
"437","ck",77,"1","4","1","644.9"
"438","ck",78,"7","4","1","527.6"
"439","ck",79,"8","3","1","470.7"
"440","ck",80,"5","4","1","460"
"441","ck",81,"6","3","1","546.1"
"442","ck",82,"5","4","1","559.2"
"443","ck",83,"4","4","1","443.4"
"444","ck",84,"6","4","1","569.9"
"445","ck",85,"6","3","1","527.8"
"446","ck",86,"9","3","1","549.7"
"447","ck",87,"6","3","1","347.1"
"448","ck",88,"3","4","1","317.2"
"449","ck",89,"9","4","1","514.5"
"450","ck",90,"6","4","1","564.4"
"451","ck",91,"4","4","1","421"
"452","ck",92,"4","4","1","424.6"
"453","ck",93,"14","3","1","533.4"
"454","ck",94,"4","4","1","322.1"
"455","ck",95,"5","3","1","503.9"
"456","ck",96,"4","4","1","358.9"
"457","ck",97,"2","4","1","405.1"
"458","ck",98,"4","4","1","438.4"
"459","ck",99,"4","4","1","470.7"
"460","ck",100,"5","3","1","446.5"
"461","ck",101,"4","3","1","329"
"462","ck",102,"5","3","1","343.4"
"463","ck",103,"1","4","1","515.7"
"464","ck",104,"5","3","1","403"
"465","ck",105,"7","4","1","405.8"
"466","ck",106,"1","4","1","727"
"467","ck",107,"4","4","1","425.1"
"468","ck",108,"6","4","1","597.5"
"469","ck",109,"4","3","1","418.4"
"470","ck",110,"5","3","1","409.9"
"471","ck",111,"7","3","1","439.8"
"472","ck",112,"6","4","1","551.4"
"473","ck",113,"5","4","1","482.8"
"474","ck",114,"5","4","1","468.3"
"475","ck",115,"7","3","1","494.1"
"476","ck",116,"6","4","1","362.5"
"477","ck",117,"4","3","1","404.6"
"478","ck",118,"8","4","1","459.9"
"479","ck",119,"7","3","1","478.8"
"480","ck",120,"6","3","1","357.1"
"481","cl",1,"7","3","1","432.1"
"482","cl",2,"9","3","1","403.7"
"483","cl",3,"5","4","1","378"
"484","cl",4,"5","4","1","349.8"
"485","cl",5,"9","3","1","468.8"
"486","cl",6,"7","3","1","392.8"
"487","cl",7,"5","3","1","344.2"
"488","cl",8,"6","3","1","389.9"
"489","cl",9,"5","3","1","389.1"
"490","cl",10,"6","3","1","387"
"491","cl",11,"7","3","1","413.1"
"492","cl",12,"5","4","1","361.3"
"493","cl",13,"8","3","1","517.3"
"494","cl",14,"5","3","1","375.3"
"495","cl",15,"7","3","1","538.9"
"496","cl",16,"7","3","1","483.5"
"497","cl",17,"8","4","1","544.6"
"498","cl",18,"9","3","1","573.2"
"499","cl",19,"5","3","1","319.7"
"500","cl",20,"11","3","1","449.3"
"501","cl",21,"6","3","1","404.4"
"502","cl",22,"11","3","1","517.7"
"503","cl",23,"7","4","1","422.2"
"504","cl",24,"12","4","1","524.9"
"505","cl",25,"8","3","1","409.7"
"506","cl",26,"7","3","1","520.9"
"507","cl",27,"8","3","1","475.7"
"508","cl",28,"5","3","1","373.6"
"509","cl",29,"7","3","1","416.6"
"510","cl",30,"5","3","1","292.5"
"511","cl",31,"4","3","1","304.7"
"512","cl",32,"11","3","1","585.6"
"513","cl",33,"6","4","1","455.9"
"514","cl",34,"8","4","1","622"
"515","cl",35,"6","3","1","382.8"
"516","cl",36,"8","3","1","431.2"
"517","cl",37,"7","3","1","465.8"
"518","cl",38,"8","3","1","460.5"
"519","cl",39,"4","3","1","275.6"
"520","cl",40,"5","3","1","402.8"
"521","cl",41,"8","3","1","475.8"
"522","cl",42,"8","3","1","548.6"
"523","cl",43,"7","4","1","427.6"
"524","cl",44,"8","3","1","382.6"
"525","cl",45,"8","3","1","479.5"
"526","cl",46,"7","3","1","536.6"
"527","cl",47,"6","3","1","383.8"
"528","cl",48,"7","4","1","533.2"
"529","cl",49,"4","3","1","333.7"
"530","cl",50,"7","3","1","461.4"
"531","cl",51,"10","4","1","603.4"
"532","cl",52,"8","3","1","520.2"
"533","cl",53,"6","3","1","453.5"
"534","cl",54,"7","3","1","482.5"
"535","cl",55,"6","3","1","370.1"
"536","cl",56,"9","4","1","587.9"
"537","cl",57,"6","4","1","456"
"538","cl",58,"6","3","1","342"
"539","cl",59,"5","4","1","384.6"
"540","cl",60,"7","3","1","445.2"
"541","cl",61,"6","3","1","471.6"
"542","cl",62,"7","3","1","499.6"
"543","cl",63,"7","4","1","516.6"
"544","cl",64,"7","3","1","467.2"
"545","cl",65,"9","3","1","507.2"
"546","cl",66,"5","3","1","319.8"
"547","cl",67,"5","3","1","406.7"
"548","cl",68,"5","4","1","434.3"
"549","cl",69,"4","3","1","341.7"
"550","cl",70,"11","3","1","437.4"
"551","cl",71,"8","4","1","584.1"
"552","cl",72,"6","3","1","448.6"
"553","cl",73,"7","3","1","560.8"
"554","cl",74,"5","3","1","336.4"
"555","cl",75,"9","3","1","551.6"
"556","cl",76,"6","3","1","480.3"
"557","cl",77,"9","3","1","558.5"
"558","cl",78,"11","4","1","550.7"
"559","cl",79,"9","3","1","466.4"
"560","cl",80,"8","3","1","437.5"
"561","cl",81,"9","3","1","528.7"
"562","cl",82,"7","3","1","470.2"
"563","cl",83,"6","3","1","412.7"
"564","cl",84,"7","3","1","540.7"
"565","cl",85,"8","3","1","530.1"
"566","cl",86,"8","3","1","524.9"
"567","cl",87,"6","3","1","321.3"
"568","cl",88,"5","3","1","295.1"
"569","cl",89,"8","3","1","430.6"
"570","cl",90,"8","3","1","558.6"
"571","cl",91,"7","3","1","395.6"
"572","cl",92,"5","3","1","359.7"
"573","cl",93,"7","3","1","538"
"574","cl",94,"5","3","1","303.5"
"575","cl",95,"9","3","1","499.4"
"576","cl",96,"5","4","1","365.3"
